signal_id,study_id,signal_name,category,description,severity,status,detected_date,affected_sites,n_affected_sites,impact_score,recommended_action,assigned_to,days_open
SIG-50533,BIO-2024-610,Regulatory Milestone At Risk,regulatory,Upcoming regulatory deadline with incomplete data,Medium,Closed,2026-01-31,"[""SITE-1050"", ""SITE-1027"", ""SITE-1011"", ""SITE-1009"", ""SITE-1056""]",5,0.48,Schedule ad-hoc site visit,Medical Monitor,9
SIG-22882,BIO-2024-610,Monitoring Visit Overdue,compliance,Scheduled monitoring visit is overdue by >30 days,Critical,Under Review,2026-02-10,"[""SITE-1030"", ""SITE-1004"", ""SITE-1022"", ""SITE-1043"", ""SITE-1024""]",5,0.81,Increase monitoring frequency,Study Director,3
SIG-22427,BIO-2024-610,High Screen Failure Rate,quality,Screen failure rate exceeds protocol threshold,Medium,Open,2026-01-19,"[""SITE-1051"", ""SITE-1031""]",2,0.23,Review with medical monitor,Regional CRA Lead,31
SIG-86213,BIO-2025-373,Supply Chain Risk,supply,Drug supply levels approaching minimum threshold,Medium,Mitigated,2026-01-23,"[""SITE-1123""]",1,0.72,Adjust enrollment targets,Study Director,35
SIG-69893,BIO-2025-373,Enrollment Below Target,enrollment,Enrollment rate is significantly below planned trajectory,Low,Under Review,2026-02-08,"[""SITE-1120"", ""SITE-1081"", ""SITE-1127"", ""SITE-1142"", ""SITE-1130""]",5,0.93,Engage backup sites,Supply Chain Manager,5
SIG-31553,BIO-2025-373,High Screen Failure Rate,quality,Screen failure rate exceeds protocol threshold,Medium,Open,2026-02-10,"[""SITE-1099"", ""SITE-1076"", ""SITE-1124"", ""SITE-1113""]",4,0.81,Increase monitoring frequency,Medical Monitor,29
SIG-43292,BIO-2025-373,Competitive Recruitment Risk,strategic,Competing trial opened at site catchment area,Medium,Open,2026-02-08,"[""SITE-1090"", ""SITE-1092"", ""SITE-1118"", ""SITE-1115""]",4,0.65,Increase monitoring frequency,Medical Monitor,1
SIG-41459,BIO-2026-489,Budget Variance Alert,financial,Study spending deviating >15% from forecast,Medium,Open,2026-01-28,"[""SITE-1162"", ""SITE-1178"", ""SITE-1153"", ""SITE-1159""]",4,0.45,Adjust enrollment targets,Data Management Lead,21
SIG-41516,BIO-2026-489,Site Activation Delay,operational,Site activation exceeding planned timeline,Low,Closed,2026-02-10,"[""SITE-1161"", ""SITE-1179"", ""SITE-1158"", ""SITE-1169""]",4,0.92,Schedule ad-hoc site visit,Study Director,5
SIG-30064,BIO-2026-489,Protocol Deviation Trend,compliance,Increasing trend in protocol deviations detected,Medium,Open,2026-02-10,"[""SITE-1184""]",1,0.46,Increase monitoring frequency,Medical Monitor,22
