study_id,site_id,site_name,country,investigator,enrollment_score,quality_norm,screen_fail_score,query_score,deviation_score,activation_score,composite_rank_score,rank_within_study,performance_tier
BIO-2024-610,SITE-1064,Memorial Cancer Center - Australia,Australia,Dr. Tanaka,0.48014440433212996,0.8297258297258296,0.8920086393088553,0.9115646258503401,0.875,0.6413793103448275,0.7519051878365605,1,Top Performer
BIO-2024-610,SITE-1063,University Medical Center - Argentina,Argentina,Dr. Dubois,0.6732851985559567,0.6161616161616161,1.0,0.673469387755102,0.875,0.6758620689655173,0.7414102379311294,2,Good
BIO-2024-610,SITE-1045,Biomedical Research Institute - Spain,Spain,Dr. Garcia,0.4819494584837545,0.5858585858585857,1.0,0.7959183673469388,0.875,0.8,0.7182968368946965,3,Good
BIO-2024-610,SITE-1029,Medical Research Clinic - Spain,Spain,Dr. Patel,0.6227436823104694,1.0,0.7840172786177105,0.26530612244897955,0.875,0.703448275862069,0.7146792583238277,4,Good
BIO-2024-610,SITE-1051,Teaching Hospital - United States,United States,Dr. Martinez,0.6155234657039711,0.5353535353535354,0.40172786177105824,1.0,0.875,0.9103448275862069,0.6934952355209792,5,Good
BIO-2024-610,SITE-1053,Memorial Cancer Center - France,France,Dr. Schmidt,0.44223826714801445,0.834054834054834,0.7386609071274297,0.6870748299319728,0.875,0.6620689655172414,0.688687790708605,6,Good
BIO-2024-610,SITE-1065,Clinical Research Center - South Korea,South Korea,Dr. Taylor,0.4693140794223827,1.0,0.4233261339092872,0.8775510204081632,0.75,0.5103448275862069,0.675994575761834,7,Good
BIO-2024-610,SITE-1044,Institute of Clinical Sciences - Germany,Germany,Dr. O'Brien,0.7256317689530685,1.0,0.8812095032397408,0.25850340136054417,0.25,0.6689655172413793,0.6567614296524478,8,Good
BIO-2024-610,SITE-1005,General Hospital - France,France,Dr. Dubois,0.36281588447653423,0.7157287157287158,0.5377969762419006,1.0,1.0,0.3931034482758621,0.653829605528748,9,Good
BIO-2024-610,SITE-1047,Biomedical Research Institute - Japan,Japan,Dr. Thompson,0.3411552346570397,0.7720057720057718,0.5421166306695464,0.8707482993197279,0.875,0.6413793103448275,0.6470076335982882,10,Good
BIO-2024-610,SITE-1060,Teaching Hospital - South Africa,South Africa,Dr. Schmidt,0.8231046931407942,0.3347763347763348,0.6825053995680346,0.6462585034013606,0.875,0.4275862068965517,0.6460546463755299,11,Good
BIO-2024-610,SITE-1010,General Hospital - Germany,Germany,Dr. Dubois,0.4981949458483754,0.46464646464646464,0.5248380129589633,0.9523809523809523,1.0,0.5310344827586206,0.6421643224682362,12,Good
BIO-2024-610,SITE-1067,Health Sciences Center - Germany,Germany,Dr. Thompson,0.4368231046931408,0.5959595959595959,0.7257019438444925,0.7346938775510203,0.875,0.6068965517241379,0.639396723746945,13,Good
BIO-2024-610,SITE-1014,Teaching Hospital - Argentina,Argentina,Dr. Dubois,0.15703971119133575,0.8643578643578642,0.5377969762419006,0.7210884353741497,1.0,0.8344827586206897,0.6344125882738832,14,Good
BIO-2024-610,SITE-1026,Institute of Clinical Sciences - India,India,Dr. Tanaka,0.148014440433213,0.9783549783549782,0.41252699784017266,0.8979591836734694,0.875,0.7310344827586207,0.6336009812822072,15,Good
BIO-2024-610,SITE-1054,Academic Health System - United States,United States,Dr. Patel,0.5108303249097473,0.632034632034632,0.632829373650108,0.9047619047619048,0.625,0.5241379310344827,0.6309169924996134,16,Good
BIO-2024-610,SITE-1019,Metropolitan Hospital - United States,United States,Dr. Mueller,0.41335740072202165,0.6450216450216449,0.7365010799136069,0.5986394557823129,0.875,0.6,0.6238647595392224,17,Good
BIO-2024-610,SITE-1058,Regional Research Institute - Germany,Germany,Dr. Mueller,0.4277978339350181,1.0,0.7019438444924406,0.3129251700680272,0.625,0.6758620689655173,0.6205160175643764,18,Good
BIO-2024-610,SITE-1022,Memorial Cancer Center - South Korea,South Korea,Dr. Lee,0.4494584837545127,0.8354978354978354,0.531317494600432,0.6598639455782314,0.75,0.496551724137931,0.6202965764787879,19,Good
BIO-2024-610,SITE-1002,Medical Research Clinic - Australia,Australia,Dr. Johnson,0.33574007220216606,0.4025974025974025,0.7818574514038876,1.0,0.75,0.7586206896551724,0.6200951852461224,20,Good
BIO-2024-610,SITE-1061,Clinical Research Center - Germany,Germany,Dr. Martinez,0.09927797833935019,0.9235209235209233,0.7235421166306695,0.653061224489796,0.875,0.5517241379310345,0.6024365942501955,21,Good
BIO-2024-610,SITE-1068,Translational Research Hospital - Brazil,Brazil,Dr. Johnson,0.315884476534296,0.7633477633477631,0.33261339092872566,1.0,0.75,0.5517241379310345,0.599205094235539,22,Good
BIO-2024-610,SITE-1027,Biomedical Research Institute - Italy,Italy,Dr. Nakamura,0.22563176895306858,0.7301587301587301,0.6760259179265659,0.7414965986394557,0.625,0.8482758620689655,0.593645651961813,23,Good
BIO-2024-610,SITE-1020,Regional Research Institute - Japan,Japan,Dr. Brown,0.38808664259927794,0.44300144300144295,0.7429805615550756,0.7006802721088434,0.875,0.6,0.5934210742996959,24,Good
BIO-2024-610,SITE-1025,Comprehensive Care Center - South Africa,South Africa,Dr. Garcia,0.36281588447653423,0.5396825396825398,0.5140388768898487,0.8299319727891157,1.0,0.42068965517241375,0.5923050720247275,25,Good
BIO-2024-610,SITE-1036,Medical Research Clinic - Australia,Australia,Dr. Singh,0.16787003610108303,0.766233766233766,0.8596112311015118,0.5170068027210885,0.875,0.5793103448275863,0.5908880018281726,26,Good
BIO-2024-610,SITE-1016,Biomedical Research Institute - South Korea,South Korea,Dr. Silva,0.5595667870036101,0.25829725829725825,0.33909287257019427,0.8979591836734694,0.75,1.0,0.5896089568469037,27,Good
BIO-2024-610,SITE-1003,General Hospital - United States,United States,Dr. Garcia,0.5180505415162455,0.40692640692640686,0.7537796976241901,0.564625850340136,0.75,0.6344827586206896,0.5846070248210606,28,Good
BIO-2024-610,SITE-1046,Medical Research Clinic - Canada,Canada,Dr. Tanaka,0.26714801444043323,0.7864357864357863,0.48380129589632825,0.7755102040816326,0.875,0.3655172413793103,0.5807726100318907,29,Good
