study_id,site_id,site_name,investigator,country,region,lat,lon,status,activation_date,days_to_activate,patients_screened,patients_enrolled,screen_fail_rate,enrollment_rate_per_month,target_enrollment,quality_score,query_rate_per_100_crfs,protocol_deviations,major_deviations,monitoring_visits_completed,monitoring_visits_planned,last_monitoring_visit
BIO-2024-610,SITE-1001,Center for Advanced Medicine - South Korea,Dr. Fischer,South Korea,Asia-Pacific,33.86977228456768,130.09132513116248,Active,2024-01-29,80,27,19,30.3,2.84,12,0.955,12.6,3,1,9,8,2026-01-19
BIO-2024-610,SITE-1002,Medical Research Clinic - Australia,Dr. Johnson,Australia,Asia-Pacific,-22.426642850349946,133.72045291775675,Pending,2024-01-14,65,8,7,15.1,1.86,23,0.586,0.0,2,0,5,6,2026-01-16
BIO-2024-610,SITE-1003,General Hospital - United States,Dr. Garcia,United States,North America,37.22249678509726,-100.24648769430785,Active,2024-02-01,83,17,15,16.4,2.87,21,0.589,6.4,2,0,11,15,2026-02-11
BIO-2024-610,SITE-1004,Medical Research Clinic - Italy,Dr. Yamamoto,Italy,Europe,39.20461118623638,14.819702893703958,Active,2024-03-20,131,18,12,33.7,2.37,26,0.91,2.1,4,1,7,11,2025-12-24
BIO-2024-610,SITE-1005,General Hospital - France,Dr. Dubois,France,Europe,44.030118554506814,-0.003527466542180946,Closed,2024-03-07,118,16,12,26.4,2.01,30,0.803,0.0,0,0,3,6,2025-12-19
BIO-2024-610,SITE-1006,Teaching Hospital - Japan,Dr. Thompson,Japan,Asia-Pacific,37.74707666278622,135.28636093177852,Active,2024-03-04,115,10,9,17.1,1.44,13,0.733,6.5,2,0,1,9,2026-02-08
BIO-2024-610,SITE-1007,Center for Advanced Medicine - Canada,Dr. Silva,Canada,North America,56.85563802060944,-104.37743893737239,Active,2024-01-29,80,9,6,36.0,1.07,17,1.0,3.5,5,0,2,8,2025-12-25
BIO-2024-610,SITE-1008,Regional Research Institute - Japan,Dr. Brown,Japan,Asia-Pacific,35.74082565384872,138.61112170249973,Active,2024-01-09,60,17,11,37.3,2.06,30,0.556,9.7,2,1,4,7,2025-12-26
BIO-2024-610,SITE-1009,Biomedical Research Institute - South Korea,Dr. Tanaka,South Korea,Asia-Pacific,32.96502590888179,130.13229185851557,Active,2024-03-13,124,19,14,27.3,2.96,20,0.52,6.1,2,0,4,8,2025-12-17
BIO-2024-610,SITE-1010,General Hospital - Germany,Dr. Dubois,Germany,Europe,51.37549462098993,11.634988903272168,Closed,2024-02-16,98,34,25,27.0,2.76,29,0.629,0.7,0,3,10,17,2026-01-27
BIO-2024-610,SITE-1011,National Medical Center - Australia,Dr. Williams,Australia,Asia-Pacific,-23.834730058340213,134.88623656258147,Active,2023-12-22,42,18,12,36.8,1.33,22,0.674,0.9,1,0,1,14,2025-12-19
BIO-2024-610,SITE-1012,General Hospital - United States,Dr. Yamamoto,United States,North America,41.222604235058114,-96.00847394998536,Closed,2024-01-15,66,28,21,27.2,1.91,13,0.752,5.3,2,0,6,17,2026-01-20
BIO-2024-610,SITE-1013,Teaching Hospital - Canada,Dr. Lopez,Canada,North America,58.565563106963054,-104.36477654246099,Pending,2024-01-16,67,3,3,20.1,0.81,30,0.569,9.8,1,0,9,7,2026-02-03
