study_id,compound,study_name,therapeutic_area,phase,status,target_enrollment,current_enrollment,enrollment_pct,n_sites_planned,n_sites_active,n_countries,start_date,planned_end_date,risk_score,risk_level,budget_mm,spend_to_date_mm,protocol_amendments,sponsor
BIO-2024-610,BIO-8270,Immunology Exploratory Study 1,Immunology,Phase IV,Enrolling,1684,260,15.5,105,68,14,2023-11-10,2024-11-30,0.604,Medium,146.2,24.0,2,Biogen (Simulated)
BIO-2025-373,BIO-1860,Neurology Exploratory Study 2,Neurology,Phase IV,Active - Not Enrolling,4056,4056,100.0,80,78,14,2023-01-21,2024-07-05,0.314,Low,86.7,39.2,1,Biogen (Simulated)
BIO-2026-489,BIO-6390,Oncology Pivotal Study 3,Oncology,Phase III,Enrolling,1778,753,42.4,57,38,6,2023-02-04,2024-08-27,0.513,Medium,31.8,97.0,1,Biogen (Simulated)
BIO-2027-826,BIO-6191,Neurology Exploratory Study 4,Neurology,Phase II,Startup,174,0,0.0,29,23,10,2024-03-31,2026-07-05,0.259,Low,127.5,75.0,4,Biogen (Simulated)
BIO-2028-747,BIO-6734,Rare Disease Exploratory Study 5,Rare Disease,Phase IV,Active - Not Enrolling,992,992,100.0,70,42,13,2023-06-06,2024-06-19,0.05,Low,33.8,71.4,2,Biogen (Simulated)
BIO-2029-132,BIO-7265,Immunology Exploratory Study 6,Immunology,Phase I,Enrolling,60,35,58.6,6,3,9,2023-05-15,2024-11-30,0.127,Low,102.0,66.9,3,Biogen (Simulated)
BIO-2030-894,BIO-1466,Rare Disease Exploratory Study 7,Rare Disease,Phase IV,Active - Not Enrolling,3190,3190,100.0,30,24,12,2023-01-05,2024-08-09,0.244,Low,8.7,11.7,0,Biogen (Simulated)
BIO-2031-135,BIO-5426,Neurology Pivotal Study 8,Neurology,Phase III,Startup,1730,0,0.0,192,187,9,2023-06-20,2025-12-11,0.231,Low,47.0,17.0,1,Biogen (Simulated)
BIO-2032-447,BIO-6578,Rare Disease Exploratory Study 9,Rare Disease,Phase II,Enrolling,107,82,77.5,42,31,3,2024-07-09,2026-06-13,0.674,High,44.5,65.1,0,Biogen (Simulated)
BIO-2033-926,BIO-9322,Immunology Exploratory Study 10,Immunology,Phase IV,Enrolling,4913,1898,38.6,66,48,10,2023-08-13,2025-04-02,0.435,Medium,106.9,37.0,0,Biogen (Simulated)
BIO-2034-835,BIO-2685,Oncology Exploratory Study 11,Oncology,Phase II,Active - Not Enrolling,210,210,100.0,31,29,5,2023-04-23,2024-04-23,0.268,Low,103.7,53.6,1,Biogen (Simulated)
BIO-2035-936,BIO-1769,Cardiovascular Exploratory Study 12,Cardiovascular,Phase II,Active - Not Enrolling,282,282,100.0,31,26,8,2023-10-21,2025-07-26,0.401,Medium,62.8,81.8,0,Biogen (Simulated)
